"Facility RPA","Facility Sub Region","Facility WPA","Facility District","Permit","Site Name","Operator","Permit Type","Easting","Northing","Post Code","Form","Basic Waste Cat","EWC Chapter","EWC Sub Chapter","EWC Waste Desc","Waste Code","Site Category","Facility Type","Recorded Destination","Destination WPA","Destination Region","Fate","R and D code","Tonnes Removed","SOC Category","SOC Sub Category"
"East of England","Suffolk","Suffolk","Mid Suffolk","BV4517IM","Masons Landfill - EPR/BV4517IM","Viridor Waste Management Ltd","L02 : Non Haz (SNRHW) LF",611400,250200,"IP6 0NW","Solid","Hhold/Ind/Com","10 - THERMAL PROCESSES WASTE","Power stations and other combustion plants (except 19)","fly ash from co-incineration other than those mentioned in 10 01 16","10 01 17","Landfill","Non Haz (SNRHW) LF","Bracknell Forest","Berkshire","South East","Transfer (D)","D15",0.001,"12 - Mineral wastes","Combustion wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","BV4517IM","Masons Landfill - EPR/BV4517IM","Viridor Waste Management Ltd","L02 : Non Haz (SNRHW) LF",611400,250200,"IP6 0NW","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Soil (including excavated soil from contaminated sites) - stones and dredging spoil","soil and stones other than those mentioned in 17 05 03","17 05 04","Landfill","Non Haz (SNRHW) LF","Bracknell Forest","Berkshire","South East","Transfer (D)","D15",0.025,"12 - Mineral wastes","Naturally occurring minerals"
"East of England","Suffolk","Suffolk","Mid Suffolk","BV4517IM","Masons Landfill - EPR/BV4517IM","Viridor Waste Management Ltd","L02 : Non Haz (SNRHW) LF",611400,250200,"IP6 0NW","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Incineration or pyrolysis of waste","bottom ash and slag other than those mentioned in 19 01 11","19 01 12","Landfill","Non Haz (SNRHW) LF","Bracknell Forest","Berkshire","South East","Transfer (D)","D15",0.001,"12 - Mineral wastes","Combustion wastes"
"East of England","Suffolk","Suffolk","West Suffolk","103340","The Yard","Medley                   James","S0801 : HCI Waste Transfer Station",567827,274872,"IP28 8PS","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Gypsum-based construction material","gypsum-based construction materials other than those mentioned in 17 08 01","17 08 02","Transfer","Non-Haz Waste Transfer","Cambridge","Cambridgeshire","East of England","Recovery","R05",13.26,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","West Suffolk","400422","Lakenheath Recycling Facility","Sutton Services Limited","S0811 : Inert & excavation Waste TS + treatment",570800,282200,"IP27 9BX","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Concrete - bricks - tiles and ceramics","concrete","17 01 01","Treatment","Inert Waste Transfer / Treatment","Cambridgeshire","Cambridgeshire","East of England","Recovery","R05",1072,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","West Suffolk","400422","Lakenheath Recycling Facility","Sutton Services Limited","S0811 : Inert & excavation Waste TS + treatment",570800,282200,"IP27 9BX","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Concrete - bricks - tiles and ceramics","bricks","17 01 02","Treatment","Inert Waste Transfer / Treatment","Cambridgeshire","Cambridgeshire","East of England","Recovery","R05",4932,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","West Suffolk","400422","Lakenheath Recycling Facility","Sutton Services Limited","S0811 : Inert & excavation Waste TS + treatment",570800,282200,"IP27 9BX","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Bituminous mixtures - coal tar and tarred products","bituminous mixtures other than those mentioned in 17 03 01","17 03 02","Treatment","Inert Waste Transfer / Treatment","Cambridgeshire","Cambridgeshire","East of England","Recovery","R05",27,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","West Suffolk","400422","Lakenheath Recycling Facility","Sutton Services Limited","S0811 : Inert & excavation Waste TS + treatment",570800,282200,"IP27 9BX","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Soil (including excavated soil from contaminated sites) - stones and dredging spoil","soil and stones other than those mentioned in 17 05 03","17 05 04","Treatment","Inert Waste Transfer / Treatment","Cambridgeshire","Cambridgeshire","East of England","Recovery","R05",42,"12 - Mineral wastes","Naturally occurring minerals"
"East of England","Suffolk","Suffolk","West Suffolk","404585","A & S Topsoils","Mr Nathan Tidd And Mr Steven Tidd","SR2010 No12 : Treatment of waste to produce soil <75,000 tpy",570711,278273,"IP28 8LX","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Soil (including excavated soil from contaminated sites) - stones and dredging spoil","soil and stones other than those mentioned in 17 05 03","17 05 04","Treatment","Physical Treatment","Cambridgeshire","Cambridgeshire","East of England","Recovery","R05",658,"12 - Mineral wastes","Naturally occurring minerals"
"East of England","Suffolk","Suffolk","West Suffolk","103340","The Yard","Medley                   James","S0801 : HCI Waste Transfer Station",567827,274872,"IP28 8PS","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Gypsum-based construction material","gypsum-based construction materials other than those mentioned in 17 08 01","17 08 02","Transfer","Non-Haz Waste Transfer","Cambridgeshire","Cambridgeshire","East of England","Recovery","R05",28.66,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","East Suffolk","70784","Oulton Broad","P W Waters Ltd","A11 : Household, Commercial & Industrial  Waste Transfer Stn",652467,292915,"NR32 3LZ","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Other construction and demolition wastes","mixed construction and demolition wastes other than those mentioned in 17 09 01, 17 09 02 and 17 09 03","17 09 04","Transfer","Non-Haz Waste Transfer","East of England","East of England (WPA Not codeable)","East of England","Recovery","R13",80.87,"12 - Mineral wastes","Construction and demolition wastes"
