"Facility RPA","Facility Sub Region","Facility WPA","Facility District","Permit","Site Name","Operator","Permit Type","Easting","Northing","Post Code","Form","Basic Waste Cat","EWC Chapter","EWC Sub Chapter","EWC Waste Desc","Waste Code","Site Category","Facility Type","Recorded Origin","Origin WPA","Origin Region","Fate","R and D code","Tonnes Received","SOC Category","SOC Sub Category"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Barking and Dagenham","Barking and Dagenham","London","Recovery","R05",103.27,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Bedford","Bedford","East of England","Recovery","R05",11.5,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Bexley","Bexley","London","Recovery","R05",48.52,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Cambridgeshire","Cambridgeshire","East of England","Recovery","R04.05",117.685,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Cambridgeshire","Cambridgeshire","East of England","Recovery","R05",138.34,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Metals (including their alloys)","cables other than those mentioned in 17 04 10","17 04 11","Transfer","Non-Haz Waste Transfer","Cambridgeshire","Cambridgeshire","East of England","Recovery","R04.05",1.54,"06 - Metallic wastes","Mixed metal wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","metals","20 01 40","Transfer","Non-Haz Waste Transfer","Cambridgeshire","Cambridgeshire","East of England","Recovery","R13",0.63,"06 - Metallic wastes","Mixed metal wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Other municipal wastes","mixed municipal waste","20 03 01","Transfer","Non-Haz Waste Transfer","Cambridgeshire","Cambridgeshire","East of England","Recovery","R13",10.88,"10 - Mixed ordinary wastes","Household and similar wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Gypsum-based construction material","gypsum-based construction materials other than those mentioned in 17 08 01","17 08 02","Transfer","Non-Haz Waste Transfer","Cambridgeshire","Cambridgeshire","East of England","Recovery","R13",1.32,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Other construction and demolition wastes","mixed construction and demolition wastes other than those mentioned in 17 09 01, 17 09 02 and 17 09 03","17 09 04","Transfer","Non-Haz Waste Transfer","Cambridgeshire","Cambridgeshire","East of England","Recovery","R13",22.44,"12 - Mineral wastes","Construction and demolition wastes"
