"Facility RPA","Facility Sub Region","Facility WPA","Facility District","Permit","Site Name","Operator","Permit Type","Easting","Northing","Post Code","Form","Basic Waste Cat","EWC Chapter","EWC Sub Chapter","EWC Waste Desc","Waste Code","Site Category","Facility Type","Recorded Destination","Destination WPA","Destination Region","Fate","R and D code","Tonnes Removed","SOC Category","SOC Sub Category"
"East of England","Suffolk","Suffolk","Mid Suffolk","RP3432WF","Sacker's Metal Recycling Facility EPR/RP3432WF","Sackers Limited","TM1 : Metal Recycling installation",612320,250360,"IP6 0JB","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","MRS","Metal Recycling","Barking and Dagenham","Barking and Dagenham","London","Recovery","R04",46.814,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","RP3432WF","Sacker's Metal Recycling Facility EPR/RP3432WF","Sackers Limited","TM1 : Metal Recycling installation",612320,250360,"IP6 0JB","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","metals","20 01 40","MRS","Metal Recycling","Barking and Dagenham","Barking and Dagenham","London","Recovery","R04",114.41,"06 - Metallic wastes","Mixed metal wastes"
"East of England","Suffolk","Suffolk","East Suffolk","WP3932WS","Parham Recycling Centre EPR/BP3193VD","Tamar Composting (East Anglia) Limited","T01 : Composting installation",631770,260100,"IP13 9AF","Liquid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Aerobic treatment of solid wastes","wastes not otherwise specified","19 05 99","Treatment","Composting","Bedford","Bedford","East of England","Recovery","R03",147.1,"10 - Mixed ordinary wastes","Sorting residues"
"East of England","Suffolk","Suffolk","East Suffolk","WP3932WS","Parham Recycling Centre EPR/BP3193VD","Tamar Composting (East Anglia) Limited","T01 : Composting installation",631770,260100,"IP13 9AF","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Aerobic treatment of solid wastes","wastes not otherwise specified","19 05 99","Treatment","Composting","Bedford","Bedford","East of England","Recovery","R03",159.84,"10 - Mixed ordinary wastes","Sorting residues"
"East of England","Suffolk","Suffolk","Mid Suffolk","71095","Masons Material Reclamation Facility","Viridor Waste Management Limited","A15 : Material Recycling Treatment Facility",611500,250000,"IP6 0NW","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","plastic and rubber","19 12 04","Treatment","Material Recycling Facility","Bedford","Bedford","East of England","Recovery","R03",39.4,"07 - Non-metallic wastes","Plastic wastes"
"East of England","Suffolk","Suffolk","East Suffolk","100216","Foxhall Waste Transfer Station","F C C Waste Services ( U K ) Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",624300,243800,"IP10 0HT","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Other municipal wastes","mixed municipal waste","20 03 01","Transfer","Non-Haz Waste Transfer","Bexley","Bexley","London","Recovery","R12",621.3,"10 - Mixed ordinary wastes","Household and similar wastes"
"East of England","Suffolk","Suffolk","West Suffolk","403989","West Suffolk Operational Hub","West Suffolk Council","A9 : Hazardous Waste Transfer Station",586212,266365,"IP31 1FE","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Other municipal wastes","mixed municipal waste","20 03 01","Transfer","Haz Waste Transfer","Bexley","Bexley","London","Recovery","R13",306.36,"10 - Mixed ordinary wastes","Household and similar wastes"
"East of England","Suffolk","Suffolk","East Suffolk","70800","Lowestoft","Anti - Waste Ltd","A9 : Hazardous Waste Transfer Station",652667,289441,"NR33 7NF","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Other municipal wastes","mixed municipal waste","20 03 01","Transfer","Haz Waste Transfer","Bexley","Bexley","London","Recovery","R03",335.57,"10 - Mixed ordinary wastes","Household and similar wastes"
"East of England","Suffolk","Suffolk","East Suffolk","70800","Lowestoft","Anti - Waste Ltd","A9 : Hazardous Waste Transfer Station",652667,289441,"NR33 7NF","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Other municipal wastes","mixed municipal waste","20 03 01","Transfer","Haz Waste Transfer","Bexley","Bexley","London","Recovery","R05",409.26,"10 - Mixed ordinary wastes","Household and similar wastes"
"East of England","Suffolk","Suffolk","West Suffolk","70776","Haverhill Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","A13 : Household Waste Amenity Site",568226,244859,"CB9 7UR","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Gases in pressure containers and discarded chemicals","gases in pressure containers other than those mentioned in 16 05 04","16 05 05","Transfer","CA Site","Birmingham","Birmingham City","West Midlands","Recovery","R04",0.31,"02 - Chemical preparation wastes","Off-specification chemical wastes"
"East of England","Suffolk","Suffolk","Babergh","70760","Sudbury Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","A13 : Household Waste Amenity Site",585947,240588,"CO10 7HG","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Gases in pressure containers and discarded chemicals","gases in pressure containers other than those mentioned in 16 05 04","16 05 05","Transfer","CA Site","Birmingham","Birmingham City","West Midlands","Recovery","R04",1.29,"02 - Chemical preparation wastes","Off-specification chemical wastes"
